movie_id,box_office,show_count,watch_people,hot_score,comment_count
87,4408641.0,8046,87972,94.6,13547
88,3823785.0,5228,104332,79.6,14330
89,5464070.0,4745,189433,33.5,12773
90,4171110.0,4257,70947,90.1,26883
91,3505269.0,6276,48924,88.7,23225
92,4709618.0,7817,123321,60.1,7519
93,5268922.0,4922,193103,69.8,19980
94,4501557.0,4962,193990,96.4,12111
95,4068743.0,1448,22947,66.2,3627
96,4691076.0,2081,173675,91.6,4555
97,4142457.0,9814,176931,35.6,1281
98,4403510.0,9736,68354,43.0,22454
99,2596847.0,9921,67282,60.0,21016
100,2539731.0,5977,31034,69.8,23961
101,2316749.0,3107,196785,85.5,8076
102,4542759.0,9895,28384,97.2,6903
103,3025241.0,4716,108779,56.4,25037
104,3303086.0,5132,28931,33.2,17471
105,4644221.0,2714,117137,84.5,2755
106,2773485.0,7464,81967,71.1,27570
107,3888795.0,7028,22348,43.5,13184
108,5383465.0,3823,132377,63.6,16639
109,3000844.0,2524,135073,80.5,23072
110,2292043.0,2049,84350,82.4,7412
111,2863358.0,9887,182146,64.0,13958
112,2987876.0,9893,157843,50.8,11102
113,5003814.0,5937,65038,96.2,5570
114,5059964.0,3044,152243,75.1,3890
115,5036038.0,2980,16874,57.8,3836
116,4454251.0,8769,124501,49.1,9725
117,5373751.0,3715,185958,79.7,26944
118,2642375.0,1320,177894,46.5,15013
119,5302825.0,2297,41516,41.7,11298
120,4489487.0,1842,10714,66.0,16996
121,5433947.0,2856,78126,49.7,24688
122,4828125.0,9022,34493,72.8,4927
123,2806341.0,2645,92092,38.0,14694
124,2634800.0,4714,138589,74.5,14149
125,3426634.0,639,77754,49.3,25244
126,4262855.0,2880,178362,30.0,20218
127,4525426.0,6046,199876,38.6,7355
128,5321017.0,2353,89733,93.5,28854
129,2869562.0,588,148641,89.0,236
130,3915069.0,9299,77262,45.9,27153
131,4292230.0,5153,158780,82.9,10273
132,3057518.0,1059,197410,71.4,28631
133,3491188.0,592,6244,96.0,1140
134,3538388.0,1773,44536,55.4,3247
135,5390954.0,5322,155589,76.3,20518
136,3698581.0,6888,136316,34.3,17094
137,3880507.0,3281,172759,56.9,5780
138,4786062.0,4249,63952,95.5,13217
139,3272906.0,8806,119217,66.7,7323
140,5382748.0,1991,67822,49.6,11091
141,5580808.0,8487,196274,38.2,846
142,3668660.0,4539,183941,77.8,6997
143,4529962.0,765,34776,73.9,28058
144,3725040.0,200,130369,55.4,3887
145,3896479.0,8170,163816,94.7,18989
146,2646873.0,1142,192717,31.5,21822
147,4565717.0,7247,78621,50.7,3416
148,3852515.0,7206,92144,92.6,898
149,3249881.0,6819,78112,51.8,24091
150,3170415.0,6605,95844,47.2,16519
151,5283142.0,7335,52122,66.3,16908
152,3480560.0,3479,188093,86.0,21751
153,2590761.0,9025,181000,37.0,18463
154,4434603.0,8013,30284,94.1,26305
155,4904625.0,2409,32240,84.1,5282
156,3670154.0,3693,39455,42.3,22140
157,5291477.0,7606,31484,78.4,21648
158,5127438.0,6782,78439,56.2,22143
159,2749025.0,532,9018,57.4,28257
160,4381899.0,2228,112977,83.3,17131
161,3573868.0,6421,10326,95.5,26203
162,4390064.0,4894,52181,38.6,15955
163,4375794.0,8202,29737,58.6,29816
164,3831458.0,2256,102736,62.7,5731
165,2350409.0,8000,157461,55.6,18960
166,5119257.0,1965,168297,54.7,24145
167,3526630.0,3257,135269,33.6,9624
168,3539029.0,253,90461,76.6,22329
169,2560584.0,2556,29445,59.7,10444
170,4448660.0,6337,172196,43.2,23878
171,4783037.0,5280,39956,85.5,15705
172,2151739.0,9320,102303,84.6,5719
173,3600217.0,2067,96605,63.1,28740
174,2800671.0,914,36367,50.3,15378
175,4663460.0,8504,105092,73.4,21541
176,2954301.0,9945,66991,49.6,21576
177,4113038.0,737,100624,46.0,7556
178,3702280.0,565,17511,79.7,25983
179,5097561.0,3017,74514,32.7,16054
180,2601311.0,7304,148845,36.4,21680
181,3207717.0,8209,178668,30.5,8713
182,2524320.0,4966,86669,40.4,8099
183,5870009.0,8916,73321,34.7,1688
184,4472566.0,3888,80974,97.7,14006
185,2675322.0,410,127954,49.6,29007
186,4430269.0,7698,80017,40.2,24893
187,4329577.0,7666,152717,46.4,7255
188,3965940.0,220,109970,93.7,17948
189,4425984.0,5582,72648,65.4,716
190,3648397.0,7461,5371,54.8,20484
191,3257520.0,5991,132127,89.4,1112
192,4950127.0,7436,19344,56.9,1007
193,5114279.0,7720,112865,52.8,5915
194,4254038.0,6209,197482,44.1,5142
195,3406728.0,4937,149770,55.7,29804
196,4009887.0,572,102486,51.5,16280
197,5279505.0,3300,85864,76.1,24540
198,4678291.0,6942,71390,49.7,9814
199,5255702.0,7234,134399,69.2,22209
200,4337078.0,2413,100568,34.5,28146
201,3954557.0,880,176827,43.0,26220
202,2462319.0,8349,191831,57.7,16061
203,3407219.0,4283,150833,93.7,27138
204,4785028.0,9053,178180,55.7,3317
205,4577323.0,2988,83340,75.2,26701
206,3031093.0,6859,125600,47.3,4086
207,3043329.0,2721,5919,38.6,4566
208,3845588.0,2684,184411,34.0,24544
209,2604582.0,9362,22563,50.8,15540
210,2621309.0,6868,11056,40.7,16876
211,3762150.0,162,40416,41.8,6740
212,4686089.0,1089,74750,81.7,19379
213,4519676.0,2111,81175,31.1,4380
214,3672327.0,7740,182962,67.9,29024
215,4333077.0,6507,30453,55.8,25043
216,2819022.0,9445,88227,64.4,19864
217,3881601.0,763,182648,68.3,16848
218,4855666.0,7763,190946,51.3,4768
219,3968830.0,8865,154120,50.1,11959
220,5038308.0,4098,91510,79.9,28230
221,3684862.0,8061,180119,89.2,312
222,3855808.0,9439,84891,43.1,10658
223,3526218.0,3859,101003,36.6,3933
224,2877743.0,7750,67900,91.1,3611
225,3617054.0,3088,91152,53.8,20842
226,2969790.0,3613,44142,67.5,28782
227,5688631.0,7913,13645,54.4,1045
228,3141088.0,1368,19694,38.6,13524
229,5257429.0,6004,183109,70.1,24290
230,4338407.0,4250,114280,65.7,26219
231,4399779.0,3512,111421,43.8,19901
232,4789695.0,2354,104228,60.7,5781
233,3828752.0,7955,127174,84.2,20224
234,4330076.0,2157,121169,70.1,12183
235,3675051.0,3568,130631,36.6,502
236,5046268.0,3028,21278,67.3,6699
237,3739769.0,7572,58179,77.8,28061
238,3336667.0,9811,138104,83.9,13027
239,4098364.0,2103,74871,72.8,17353
240,2735400.0,9407,15054,40.4,25472
241,5150526.0,2779,31090,78.3,20494
242,5796891.0,8233,145656,76.1,5588
243,5534123.0,7020,143738,31.7,20148
244,3425950.0,1267,59088,58.0,10508
245,2689000.0,6726,121354,52.6,25533
246,4788844.0,6177,39274,75.5,16655
247,3451451.0,4311,156766,44.7,4584
248,5003844.0,6930,185104,70.2,20695
249,5710931.0,8565,142887,92.1,8232
250,4361697.0,2719,187236,84.3,10555
251,2947612.0,9180,20496,92.7,24847
252,3737387.0,1249,195911,96.5,3419
253,4393821.0,9803,88651,30.7,4878
254,3439399.0,3711,96078,72.3,10481
255,3056840.0,7476,127105,58.1,13039
256,4003797.0,908,127486,88.5,21983
257,4769501.0,6872,143599,47.1,12983
258,4490363.0,8735,102152,96.7,885
259,4885708.0,5206,154970,71.7,7172
260,2835920.0,9477,101795,84.0,15594
261,4414697.0,7699,17072,35.8,1789
262,5117988.0,1077,70523,42.5,2090
263,3013810.0,2438,73802,81.6,10192
264,3848727.0,9052,145553,31.5,19504
265,5727743.0,8390,186021,85.5,28084
266,5214018.0,7653,137790,30.9,22205
267,4985062.0,4603,10275,74.7,346
268,4393426.0,5927,7417,54.8,6622
269,4000150.0,202,152170,71.6,9150
270,2984771.0,2553,155669,77.3,7913
271,5388114.0,6457,99732,53.3,27377
272,4174959.0,4286,171718,37.3,21365
273,4688812.0,2224,30577,34.7,20029
274,5341092.0,1807,122406,70.0,13226
275,3387708.0,8979,199047,65.4,20180
276,3324202.0,4547,141769,80.5,7306
277,4641632.0,3972,121163,64.7,27000
278,4224459.0,5578,131661,58.7,10070
279,4413277.0,1443,166342,57.1,10140
280,5127082.0,1596,105030,31.8,23201
281,5273854.0,9647,189892,52.8,15434
282,3629006.0,300,26726,96.4,11714
283,3692087.0,2714,24258,89.4,7815
284,3243508.0,2087,26334,52.4,12926
285,4681250.0,2391,100328,70.0,22930
286,2872337.0,2739,199099,87.6,5668
287,4019955.0,5135,51333,60.0,10456
288,4672818.0,8283,37373,31.2,8386
289,3804218.0,9851,44424,35.1,4195
290,3645312.0,4040,64039,64.7,1677
291,3333769.0,2182,144537,95.9,16920
292,2248663.0,1110,111992,77.1,8601
293,5572525.0,1219,83806,34.8,26777
294,3488217.0,5367,186808,42.9,8744
295,3231404.0,3677,126368,82.4,6018
296,4480187.0,7497,180909,87.2,1362
297,5206841.0,3814,5108,72.0,16648
298,3103625.0,445,50326,73.8,15643
299,4387358.0,100,42142,31.9,15324
300,2876157.0,7525,151860,86.3,14277
301,2541042.0,336,122271,83.6,20848
302,3842450.0,2314,95649,47.6,26994
303,3538903.0,8266,177728,78.2,12220
304,4506368.0,5857,46526,44.6,1649
305,4294597.0,2693,29621,32.7,26479
306,6051662.0,3671,68359,43.7,6260
307,3963172.0,769,155632,42.1,19543
308,3185440.0,8567,46366,53.0,1625
309,4331744.0,2584,37966,58.5,16560
310,3630093.0,2158,17614,64.6,5703
311,3913281.0,6276,135272,62.4,12977
312,2162487.0,1668,175802,48.4,12959
313,2745962.0,3391,41841,32.0,20190
314,4844244.0,321,17902,71.1,14608
315,4585994.0,8765,42182,56.9,10353
316,4955653.0,249,143347,50.3,333
317,3780316.0,5685,129224,89.0,22178
318,3321462.0,5607,44289,80.8,6722
319,3138767.0,4450,109245,88.3,29574
320,3511073.0,960,55189,63.7,22765
321,4138644.0,9690,103606,38.9,14863
322,4473981.0,1162,96036,77.3,6568
323,4355981.0,5828,107667,44.0,3583
324,3082169.0,2327,46340,60.0,19269
325,5100446.0,4836,35323,34.4,18828
326,4527225.0,2909,170312,86.1,22945
327,4522463.0,2378,46742,38.6,19984
328,4278758.0,9965,186671,91.4,402
329,4118545.0,373,159775,88.8,29872
330,2817871.0,2739,63222,61.6,6047
331,3664950.0,2309,86698,80.6,18648
332,4724786.0,323,122437,72.1,14296
333,2555109.0,988,154907,84.6,19469
334,2394624.0,5873,88783,59.4,21325
335,2371744.0,9440,62925,83.4,20801
336,2670711.0,9769,176994,61.4,10062
337,5371140.0,6349,136552,94.0,9675
338,4718854.0,5041,58674,63.1,10679
339,3720923.0,3147,57189,61.5,21659
340,2390255.0,3691,35580,83.4,7548
341,3390034.0,2977,16195,85.9,19065
342,3382871.0,2938,109705,67.7,11255
343,2425746.0,1416,180565,42.2,3538
344,4062038.0,4781,47472,61.8,4762
345,2916668.0,1767,123033,95.8,24929
346,4374225.0,9797,179023,81.2,7688
347,4744626.0,1272,113241,85.2,8232
348,3323733.0,856,145797,32.2,4152
349,4121722.0,3847,84453,61.8,13096
350,3883890.0,4164,98039,74.0,2623
351,3842856.0,2719,139180,86.4,4063
352,4707763.0,1374,106445,33.4,21765
353,4043189.0,3735,33107,88.0,18433
354,2805704.0,5705,160978,67.3,21281
355,2815423.0,2410,16002,43.4,27228
356,4319629.0,9235,37613,51.6,17342
357,2499944.0,6246,127736,49.2,15869
358,4248121.0,259,68738,66.1,27584
359,4677535.0,6432,149660,33.5,6124
360,4925523.0,1932,9491,40.8,29093
361,4419645.0,7108,144841,85.3,20082
362,4467516.0,9821,55158,39.0,14299
363,3329216.0,3385,174107,45.9,11391
364,3576814.0,2214,187578,60.8,22451
365,5434121.0,816,135025,65.2,21440
366,4395345.0,1504,112406,81.9,24066
367,4654728.0,8628,7496,60.4,7999
368,5456396.0,5122,72253,83.7,25749
369,3039814.0,5975,71260,72.0,2924
370,3123513.0,6906,29842,37.7,14347
371,3319820.0,828,56152,40.6,22645
372,2816572.0,3345,130465,59.7,21643
373,3345014.0,3664,19488,57.0,8698
374,3935664.0,9673,114780,80.6,9491
375,2592286.0,6530,155958,69.5,10327
376,3595727.0,9187,31620,56.4,6782
377,4892350.0,2832,95409,41.6,23428
378,3113157.0,4065,82878,45.4,20073
379,4305462.0,2572,187845,69.1,8144
380,3467663.0,9196,85192,58.8,24436
381,3352112.0,2479,119292,65.0,13598
382,4284098.0,552,179814,41.6,17791
383,4104254.0,6022,105297,75.1,18239
384,5495054.0,7100,84080,88.0,28236
385,4337984.0,8598,185967,47.5,1622
386,5357684.0,2596,25950,63.4,13945
387,3552509.0,8920,122646,96.3,11748
388,3549133.0,3445,191644,52.7,18114
389,4698355.0,6582,196279,70.5,16851
390,4315684.0,4070,146812,36.1,4099
391,5071508.0,1343,106845,71.2,21601
392,3826843.0,2528,89481,36.1,10765
393,3783902.0,1193,116885,95.2,3359
394,4833718.0,6696,136604,78.7,2014
395,3634436.0,4702,163567,83.6,21700
396,5476020.0,5249,147029,77.9,18985
397,4637992.0,1049,53487,70.1,8042
398,4440106.0,7617,71931,60.6,12679
399,5271592.0,626,30124,88.4,24717
400,4905864.0,9995,121175,95.1,26564
401,3425499.0,4986,179327,63.9,26748
402,5333105.0,6443,198373,93.3,18902
403,3496075.0,463,7167,69.7,14345
404,4769054.0,8478,141086,66.6,19202
405,3223766.0,6403,63975,60.9,4327
406,5271975.0,4100,103568,44.2,9047
407,3718997.0,3609,8692,30.3,6240
408,2275435.0,9383,22611,46.4,9759
409,5172403.0,8838,157563,64.7,24161
410,3275513.0,7801,5764,55.8,22826
411,2971623.0,9004,115393,60.5,776
412,5764619.0,6634,84340,96.7,19139
413,5066480.0,3725,194533,53.8,25083
414,4080443.0,7886,95226,60.7,25402
415,3854920.0,3390,57632,39.1,25008
416,4234803.0,6076,33644,33.3,18289
417,2947066.0,2002,185961,82.7,15922
418,3723068.0,1342,76597,68.8,5304
419,5102896.0,7285,34639,81.7,21365
420,4044890.0,1593,7920,40.2,23481
421,5077750.0,4398,19884,68.9,5260
422,4661381.0,2840,25194,47.2,7970
423,3359571.0,7825,104140,45.5,21663
424,3371111.0,8607,11069,30.8,11849
425,2866145.0,1625,191766,38.9,23364
426,3530034.0,4687,195162,51.0,16420
427,3431622.0,5657,19804,37.9,1321
428,5203550.0,3469,106487,97.0,9403
429,3937066.0,5751,34312,51.0,8369
430,2904950.0,9704,57134,38.9,13810
431,2367338.0,2323,173552,43.5,19098
432,4353556.0,2289,164802,70.0,12211
433,4994352.0,8383,41833,34.4,20118
434,2521130.0,6590,153661,88.6,9913
435,2997225.0,4266,30353,95.4,1101
436,4032109.0,3436,180919,46.8,19694
437,3533059.0,4807,136119,60.6,14128
438,5429399.0,7494,91134,31.5,23008
439,4989797.0,9073,64002,73.6,10071
440,3129007.0,3308,42432,58.1,13929
441,3495149.0,2033,186992,48.4,17192
442,4723076.0,3501,96650,44.1,468
443,3705565.0,1302,165371,74.5,11530
444,3499482.0,5681,7452,58.3,302
445,5297014.0,1623,39832,42.2,11377
446,5250477.0,3040,74687,76.9,22568
447,5523124.0,3297,130309,68.4,15049
448,4174590.0,3213,73753,88.4,8857
449,3716138.0,469,110627,38.0,9527
450,2463063.0,5230,120126,83.4,22341
451,4857859.0,8734,198665,75.8,18576
452,3340900.0,3491,41138,37.8,10636
453,3241199.0,1749,49785,77.2,20586
454,5407494.0,7101,76940,60.0,13235
455,2755790.0,1016,45742,94.3,5425
456,4215018.0,3122,148178,39.6,27219
457,3185372.0,3381,52089,73.7,23120
458,4020222.0,399,187770,56.0,12692
459,3250673.0,4525,195117,95.1,9509
460,2806559.0,6553,124966,52.4,29343
461,2504369.0,3478,180223,95.4,9992
462,4628994.0,1010,19211,91.3,660
463,4807723.0,9022,29165,48.4,19979
464,4262632.0,9856,83929,84.6,8790
465,5121806.0,1072,199801,97.7,28446
466,3404266.0,1707,102568,47.2,3038
467,3130507.0,9141,138990,59.7,23470
468,4673733.0,3392,199387,65.4,3958
469,3810628.0,1305,122571,50.1,28774
470,5552168.0,6585,80789,31.0,21787
471,2975300.0,5317,21364,45.0,6148
472,5120424.0,3083,127270,49.2,15780
473,2663390.0,2567,101716,60.2,14512
474,5009804.0,6858,132764,41.6,16456
475,3702334.0,4882,12685,89.4,25541
476,5960415.0,3014,134448,77.9,16342
477,2427661.0,1731,69252,35.8,9554
478,3558975.0,8908,31742,74.2,7810
479,5371757.0,9603,102400,74.4,7467
480,3627917.0,8279,73089,95.0,12255
481,4327496.0,5397,90951,30.2,2074
482,4849655.0,6018,134715,46.9,973
483,3309684.0,752,25137,93.1,18263
484,3715365.0,3195,167164,93.4,22347
485,4274455.0,1613,13150,79.0,18553
486,5073129.0,5571,125108,82.1,9655
487,2640010.0,6582,113225,36.2,28565
488,3058321.0,5214,197992,64.9,23395
489,5761908.0,1502,138197,45.7,1920
490,4877546.0,8585,40298,42.3,19687
491,3382559.0,9543,188395,85.1,18341
492,4028443.0,4058,173976,39.2,26240
493,3608066.0,9922,171973,61.9,17142
494,2982777.0,6656,150171,93.8,24064
495,4133484.0,104,113597,42.6,26257
496,3717918.0,4163,98190,96.5,8882
497,3688925.0,2243,50976,97.6,13700
498,2324418.0,5503,38489,67.8,3789
499,5497177.0,4226,161586,41.6,27881
500,4929363.0,477,38142,51.5,28837
501,3861449.0,5874,178964,58.9,28650
502,3660227.0,7067,174824,51.0,21582
503,3000884.0,5754,65419,49.1,5741
504,5461393.0,9959,12593,96.1,14221
505,4915216.0,6112,10610,40.4,19782
506,3321008.0,7721,166552,79.9,5537
507,5189526.0,1772,50135,30.0,27817
508,5294226.0,3864,110016,70.5,23104
509,4889603.0,2310,93265,92.3,19166
510,4538761.0,3969,20017,49.6,360
511,4821483.0,5162,113530,42.6,2072
512,4146482.0,2151,51378,74.3,25467
513,4737181.0,1035,31540,78.5,14094
514,4957301.0,7917,49535,76.8,27691
515,3102543.0,6494,142782,51.7,21751
516,2530085.0,4183,101511,47.1,16520
517,4198162.0,8316,17249,95.0,22440
518,4796246.0,4962,162190,92.8,3987
519,4860449.0,4945,41759,61.1,6540
520,2988495.0,6458,17698,87.5,29900
521,3944202.0,9893,163456,60.8,6655
522,4168911.0,9397,186587,58.9,11080
523,5663331.0,5898,72222,40.7,4426
524,5116763.0,3039,144695,59.0,7223
525,4770475.0,9764,88599,66.5,10070
526,4579426.0,4962,169269,31.5,12783
527,3195173.0,2187,100754,60.2,5753
528,2933511.0,9940,70493,83.1,12627
529,2572027.0,4469,96911,76.2,22282
530,5108639.0,1912,109236,73.2,15444
531,4576672.0,6377,47191,91.8,18460
532,4638727.0,2253,18029,31.2,20200
533,5057222.0,3052,191713,67.9,16741
534,3850257.0,2786,108649,83.5,15189
535,5262775.0,8168,149045,66.8,1468
536,4464780.0,922,98833,52.0,24287
537,4617443.0,5906,144394,39.3,1891
538,2867607.0,1709,132605,90.4,2635
539,4264934.0,4909,183357,62.0,12657
540,2862799.0,8886,31490,89.7,26375
541,4885157.0,5919,68184,69.8,23078
542,4011209.0,5778,174622,75.8,1116
543,2872129.0,1026,28188,84.7,18438
544,3907528.0,9133,39044,74.8,15043
545,4539838.0,3022,111832,57.1,9382
546,3326588.0,1782,14785,64.9,21501
547,3449170.0,5575,20727,84.6,3596
548,3980863.0,6729,111024,55.4,3836
549,3652685.0,5835,46962,56.4,5229
550,4240979.0,3496,89051,36.5,19478
551,3365691.0,5359,46659,92.2,26367
552,5530902.0,3428,53995,36.2,24849
553,3520434.0,3465,144320,74.1,10626
554,4756953.0,9384,84118,58.1,11028
555,5361524.0,8433,10706,57.6,25169
556,4144540.0,2309,5329,76.2,9832
557,3419926.0,1678,99596,34.6,18696
558,2479965.0,3525,118851,70.4,5129
559,5284391.0,8583,121944,82.5,11893
560,3832748.0,591,147298,86.3,15678
561,4748931.0,3681,199171,41.6,23963
562,3075082.0,5673,180412,91.0,5141
563,2914819.0,1991,84007,74.6,13663
564,3086319.0,3177,131090,90.0,19835
565,4248872.0,5533,97980,63.0,20764
566,4664479.0,2512,64762,66.9,28538
567,4137741.0,829,134450,92.5,17636
568,3694944.0,5255,181324,91.2,10964
569,5390332.0,2608,183810,60.5,19692
570,3397204.0,5330,122933,48.7,3388
571,4158474.0,9673,52021,56.7,14777
572,4021980.0,201,130161,56.4,24388
573,3576570.0,9674,151814,49.5,24728
574,4445149.0,525,193079,48.3,9293
575,4722012.0,6773,46021,88.6,17916
576,5324216.0,5707,197154,34.8,20001
577,2554385.0,8981,17560,76.1,23219
578,5072787.0,4339,143786,41.8,18584
579,4056657.0,8764,183998,53.4,20099
580,3037571.0,3444,129948,34.2,17502
581,3886078.0,8514,192676,48.4,28904
582,5158984.0,6252,26741,82.3,11673
583,3484193.0,4122,66694,90.2,16697
584,4078756.0,4010,15366,45.1,20007
585,4454330.0,3052,184280,61.5,29306
586,2575950.0,8486,63044,62.0,13350
587,3212595.0,8546,53970,89.4,24957
588,3095507.0,8600,83758,81.9,12831
589,3344901.0,3802,11234,64.9,691
590,2528912.0,1308,53644,75.6,5770
591,2784084.0,2712,74500,87.6,27317
592,5034860.0,2404,87921,30.6,28953
593,2822825.0,5770,34758,57.4,15225
594,3799370.0,676,64956,91.7,12517
595,5314916.0,379,197509,80.3,28227
596,3441575.0,2830,81303,66.9,6218
597,4463363.0,4345,97907,66.0,7531
598,2853548.0,2263,11370,53.6,26324
599,2728241.0,6925,186052,65.4,14798
600,2965313.0,6733,47625,74.6,12860
601,3550918.0,6523,128230,58.4,18765
602,3434633.0,1086,186719,78.6,14645
603,3445498.0,5170,35415,88.6,23611
604,3228773.0,6312,93192,40.5,2812
605,2987748.0,2660,178651,60.7,9552
606,4313489.0,4848,162428,57.7,3319
607,3041237.0,867,91891,76.7,29898
608,3752439.0,8069,173841,47.0,26535
609,3855308.0,8717,100273,73.5,1794
610,4563517.0,778,80950,89.7,13162
611,2408205.0,5514,118485,58.4,16832
612,5355265.0,4225,178864,91.9,16226
613,4584376.0,5455,92897,97.5,2195
614,2677885.0,5881,167907,37.2,12601
615,4984896.0,3931,155094,45.8,23085
616,4945383.0,1516,5517,94.6,320
617,2230703.0,7993,22500,95.2,968
618,3305011.0,9078,145326,36.6,20813
619,5165544.0,9619,110463,31.0,28149
620,5092867.0,7975,126929,41.0,19713
621,3449911.0,9791,174521,97.7,17410
622,2997448.0,2302,85935,42.2,3193
623,3841632.0,4170,119627,64.2,20538
624,4210506.0,9928,109038,87.7,17365
625,4202324.0,3528,184568,31.4,19340
626,3310974.0,6427,192643,71.1,879
627,4269916.0,7436,186019,48.8,15799
628,4448193.0,634,182164,88.6,27789
629,3075197.0,5799,103431,49.3,24043
630,2814635.0,319,159834,76.7,13385
631,4566231.0,1269,163361,75.8,5306
632,4568347.0,7581,52244,45.1,28865
633,4275144.0,8924,158514,32.4,4089
634,4203133.0,3090,91669,57.8,28538
635,3546143.0,4584,100379,49.7,17191
636,3905325.0,4919,97577,85.0,28553
637,4560119.0,2804,106149,84.4,5842
638,3074359.0,7178,137517,61.1,19300
639,3715306.0,4157,139813,71.2,16086
640,3324287.0,8009,153120,71.1,7296
641,2917732.0,1973,194972,86.2,29559
642,3265964.0,5865,198953,58.9,20577
643,2899098.0,5444,173023,48.7,25544
644,4056545.0,8012,27640,48.0,9719
645,2512953.0,6171,67470,66.5,15113
646,5819777.0,998,145760,60.5,6985
647,4436765.0,7074,117852,59.9,7668
648,3849782.0,7074,192568,36.2,6927
649,4540115.0,2233,182523,78.9,14009
650,4258662.0,664,187794,44.5,5427
651,2927232.0,9189,183737,43.4,23287
652,4207196.0,4046,61925,58.1,26718
653,4610887.0,4147,121110,45.5,9744
654,5142726.0,4646,13070,69.7,12764
655,4221058.0,6792,77820,55.3,25993
656,3225667.0,9581,100094,60.5,16502
657,3759157.0,9480,125730,66.5,3611
658,3354159.0,2080,170199,43.8,20249
659,4290167.0,1420,110753,40.6,1001
660,3842970.0,4437,179492,89.9,18916
661,3913642.0,5323,40596,59.5,12172
662,5660067.0,4149,70170,58.0,9967
663,4724431.0,3945,150815,32.4,14866
664,2858421.0,1954,130037,63.9,5838
665,3267343.0,1658,115956,67.7,2038
666,3067228.0,3318,117195,68.0,7740
667,3693897.0,3178,23583,78.1,7564
